year_month,station_id,station_name,station_name_en,station_attribute,metric,value,source_file
2017-01-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,25.0,dy_Report_2017.xml
2017-02-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,124.4,dy_Report_2017.xml
2017-03-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,205.0,dy_Report_2017.xml
2017-04-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,125.7,dy_Report_2017.xml
2017-05-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,152.9,dy_Report_2017.xml
2017-06-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,673.0,dy_Report_2017.xml
2017-07-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,212.6,dy_Report_2017.xml
2017-08-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,124.6,dy_Report_2017.xml
2017-09-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,51.2,dy_Report_2017.xml
2017-10-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,364.1,dy_Report_2017.xml
2017-11-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,124.5,dy_Report_2017.xml
2017-12-01,466880,板橋,BANQIAO,署屬有人氣象站,Precipitation,71.1,dy_Report_2017.xml
2017-01-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,30.5,dy_Report_2017.xml
2017-02-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,121.0,dy_Report_2017.xml
2017-03-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,146.0,dy_Report_2017.xml
2017-04-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,98.5,dy_Report_2017.xml
2017-05-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,143.5,dy_Report_2017.xml
2017-06-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,915.5,dy_Report_2017.xml
2017-07-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,83.0,dy_Report_2017.xml
2017-08-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,41.5,dy_Report_2017.xml
2017-09-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,59.0,dy_Report_2017.xml
2017-10-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,460.0,dy_Report_2017.xml
2017-11-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,167.5,dy_Report_2017.xml
2017-12-01,466900,淡水,TAMSUI,署屬有人氣象站,Precipitation,40.0,dy_Report_2017.xml
2017-01-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,179.5,dy_Report_2017.xml
2017-02-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,223.0,dy_Report_2017.xml
2017-03-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,209.7,dy_Report_2017.xml
2017-04-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,150.6,dy_Report_2017.xml
2017-05-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,181.5,dy_Report_2017.xml
2017-06-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,1009.1,dy_Report_2017.xml
2017-07-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,160.0,dy_Report_2017.xml
2017-08-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,34.8,dy_Report_2017.xml
2017-09-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,307.5,dy_Report_2017.xml
2017-10-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,1607.3,dy_Report_2017.xml
2017-11-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,720.6,dy_Report_2017.xml
2017-12-01,466910,鞍部,ANBU,署屬有人氣象站,Precipitation,591.5,dy_Report_2017.xml
2017-01-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,21.8,dy_Report_2017.xml
2017-02-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,123.7,dy_Report_2017.xml
2017-03-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,182.7,dy_Report_2017.xml
2017-04-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,121.5,dy_Report_2017.xml
2017-05-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,135.5,dy_Report_2017.xml
2017-06-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,649.7,dy_Report_2017.xml
2017-07-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,206.6,dy_Report_2017.xml
2017-08-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,166.2,dy_Report_2017.xml
2017-09-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,175.6,dy_Report_2017.xml
2017-10-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,368.6,dy_Report_2017.xml
2017-11-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,120.9,dy_Report_2017.xml
2017-12-01,466920,臺北,TAIPEI,署屬有人氣象站,Precipitation,66.9,dy_Report_2017.xml
2017-01-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,138.6,dy_Report_2017.xml
2017-02-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,184.0,dy_Report_2017.xml
2017-03-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,175.0,dy_Report_2017.xml
2017-04-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,135.5,dy_Report_2017.xml
2017-05-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,163.1,dy_Report_2017.xml
2017-06-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,830.5,dy_Report_2017.xml
2017-07-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,166.0,dy_Report_2017.xml
2017-08-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,23.0,dy_Report_2017.xml
2017-09-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,293.2,dy_Report_2017.xml
2017-10-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,1592.4,dy_Report_2017.xml
2017-11-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,587.5,dy_Report_2017.xml
2017-12-01,466930,竹子湖,ZHUZIHU,署屬有人氣象站,Precipitation,519.6,dy_Report_2017.xml
2017-01-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,254.7,dy_Report_2017.xml
2017-02-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,264.5,dy_Report_2017.xml
2017-03-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,288.8,dy_Report_2017.xml
2017-04-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,141.9,dy_Report_2017.xml
2017-05-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,229.1,dy_Report_2017.xml
2017-06-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,824.9,dy_Report_2017.xml
2017-07-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,67.9,dy_Report_2017.xml
2017-08-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,20.2,dy_Report_2017.xml
2017-09-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,188.8,dy_Report_2017.xml
2017-10-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,409.8,dy_Report_2017.xml
2017-11-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,708.2,dy_Report_2017.xml
2017-12-01,466940,基隆,KEELUNG,署屬有人氣象站,Precipitation,458.8,dy_Report_2017.xml
2017-01-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,34.7,dy_Report_2017.xml
2017-02-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,81.8,dy_Report_2017.xml
2017-03-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,173.7,dy_Report_2017.xml
2017-04-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,63.9,dy_Report_2017.xml
2017-05-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,198.4,dy_Report_2017.xml
2017-06-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,534.8,dy_Report_2017.xml
2017-07-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,37.5,dy_Report_2017.xml
2017-08-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,11.6,dy_Report_2017.xml
2017-09-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,19.0,dy_Report_2017.xml
2017-10-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,191.9,dy_Report_2017.xml
2017-11-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,198.1,dy_Report_2017.xml
2017-12-01,466950,彭佳嶼,PENGJIAYU,署屬有人氣象站,Precipitation,67.7,dy_Report_2017.xml
2017-01-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,19.0,dy_Report_2017.xml
2017-02-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,51.5,dy_Report_2017.xml
2017-03-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,76.0,dy_Report_2017.xml
2017-04-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,106.2,dy_Report_2017.xml
2017-05-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,144.5,dy_Report_2017.xml
2017-06-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,211.0,dy_Report_2017.xml
2017-07-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,153.5,dy_Report_2017.xml
2017-08-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,138.0,dy_Report_2017.xml
2017-09-01,466990,花蓮,HUALIEN,署屬有人氣象站,Precipitation,126.0,dy_Report_2017.xml
