"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","1017.0","1020.6","2026/01/01 22:33:00","1013.9","2026/01/01 02:49:00","15.4","17.7","2026/01/01 12:37:00","13.9","2026/01/01 19:31:00","88","76","2026/01/01 14:20:00","6.0","24","14.1","49","2026/01/01 15:34:00","0.0"
"02","1023.8","1026.1","2026/01/02 20:37:00","1020.4","2026/01/02 00:01:00","12.1","14.5","2026/01/02 00:58:00","11.0","2026/01/02 15:22:00","77","65","2026/01/02 23:17:00","6.4","33","16.6","30","2026/01/02 05:49:00","0.5"
"03","1023.0","1025.4","2026/01/03 00:18:00","1021.0","2026/01/03 14:35:00","14.3","18.2","2026/01/03 13:28:00","11.5","2026/01/03 00:01:00","64","51","2026/01/03 11:59:00","5.5","42","15.2","52","2026/01/03 09:19:00","0.0"
"04","1020.3","1022.8","2026/01/04 09:44:00","1018.1","2026/01/04 15:23:00","15.1","21.6","2026/01/04 11:59:00","9.8","2026/01/04 06:06:00","77","56","2026/01/04 11:55:00","2.3","268","4.8","272","2026/01/04 11:59:00","0.0"
"05","1019.9","1022.2","2026/01/05 23:55:00","1018.0","2026/01/05 14:47:00","15.8","20.5","2026/01/05 10:14:00","12.2","2026/01/05 02:24:00","81","71","2026/01/05 09:16:00","4.2","90","12.3","14","2026/01/05 16:35:00","0.0"
"06","1022.6","1024.6","2026/01/06 22:05:00","1020.9","2026/01/06 15:18:00","13.1","16.1","2026/01/06 10:28:00","11.1","2026/01/06 19:39:00","77","68","2026/01/06 10:16:00","4.6","30","12.6","44","2026/01/06 01:01:00","0.0"
"07","1023.5","1025.7","2026/01/07 09:07:00","1021.5","2026/01/07 15:28:00","12.5","14.0","2026/01/07 14:20:00","11.4","2026/01/07 00:57:00","62","51","2026/01/07 10:06:00","5.1","44","15.6","8","2026/01/07 11:52:00","0.0"
"08","1023.9","1025.9","2026/01/08 10:15:00","1022.3","2026/01/08 02:25:00","13.6","16.0","2026/01/08 11:51:00","11.7","2026/01/08 22:06:00","59","51","2026/01/08 11:33:00","5.6","42","15.7","47","2026/01/08 10:36:00","0.0"
"09","1021.4","1023.7","2026/01/09 08:38:00","1018.5","2026/01/09 14:45:00","13.7","16.8","2026/01/09 14:10:00","11.2","2026/01/09 23:57:00","63","46","2026/01/09 10:14:00","5.0","43","13.0","15","2026/01/09 12:13:00","0.0"
"10","1019.5","1022.5","2026/01/10 23:05:00","1016.7","2026/01/10 14:52:00","14.9","19.6","2026/01/10 10:47:00","9.5","2026/01/10 06:18:00","72","56","2026/01/10 10:46:00","4.0","21","13.0","9","2026/01/10 12:38:00","0.0"
"11","1022.0","1023.2","2026/01/11 06:59:00","1020.1","2026/01/11 13:18:00","15.6","18.4","2026/01/11 11:35:00","13.4","2026/01/11 20:37:00","58","49","2026/01/11 12:29:00","6.6","41","18.9","54","2026/01/11 10:11:00","0.0"
"12","1019.4","1021.3","2026/01/12 09:28:00","1017.6","2026/01/12 14:22:00","15.2","17.6","2026/01/12 14:44:00","13.9","2026/01/12 00:01:00","74","61","2026/01/12 00:01:00","2.1","215","12.5","62","2026/01/12 00:10:00","0.0"
"13","1018.2","1020.0","2026/01/13 09:58:00","1016.5","2026/01/13 15:10:00","15.9","19.1","2026/01/13 14:16:00","11.5","2026/01/13 05:32:00","72","54","2026/01/13 15:57:00","3.4","359","10.2","13","2026/01/13 15:03:00","0.0"
"14","1016.1","1018.0","2026/01/14 08:53:00","1013.5","2026/01/14 15:27:00","18.1","24.6","2026/01/14 14:38:00","12.9","2026/01/14 06:49:00","75","36","2026/01/14 14:47:00","2.2","45","6.8","12","2026/01/14 00:36:00","0.0"
"15","1015.2","1017.8","2026/01/15 09:42:00","1013.0","2026/01/15 15:03:00","17.7","20.9","2026/01/15 10:04:00","14.5","2026/01/15 00:43:00","83","57","2026/01/15 23:59:00","3.0","18","8.2","360","2026/01/15 15:17:00","0.0"
"16","1013.3","1015.1","2026/01/16 09:24:00","1011.4","2026/01/16 14:41:00","18.3","20.0","2026/01/16 11:16:00","17.5","2026/01/16 07:12:00","87","54","2026/01/16 00:25:00","4.1","18","10.9","12","2026/01/16 05:52:00","0.0"
"17","1011.9","1013.2","2026/01/17 21:44:00","1009.5","2026/01/17 13:58:00","18.4","21.1","2026/01/17 12:00:00","16.9","2026/01/17 18:44:00","83","63","2026/01/17 07:07:00","5.3","15","14.7","11","2026/01/17 13:34:00","0.0"
"18","1012.3","1013.7","2026/01/18 09:22:00","1010.4","2026/01/18 15:21:00","17.8","20.0","2026/01/18 10:06:00","16.6","2026/01/18 05:49:00","86","78","2026/01/18 09:48:00","5.5","24","14.0","14","2026/01/18 12:06:00","0.0"
"19","1013.5","1014.9","2026/01/19 07:33:00","1011.5","2026/01/19 13:34:00","17.6","20.1","2026/01/19 10:24:00","16.7","2026/01/19 04:13:00","86","79","2026/01/19 09:26:00","6.5","44","16.9","18","2026/01/19 14:34:00","0.0"
"20","1018.0","1020.9","2026/01/20 23:50:00","1014.8","2026/01/20 00:01:00","14.7","16.8","2026/01/20 00:01:00","12.5","2026/01/20 22:41:00","83","71","2026/01/20 15:29:00","7.2","30","19.3","16","2026/01/20 04:14:00","0.5"
"21","1022.0","1023.6","2026/01/21 23:13:00","1020.3","2026/01/21 14:51:00","11.8","13.2","2026/01/21 00:02:00","10.5","2026/01/21 19:10:00","86","79","2026/01/21 12:04:00","6.6","32","19.9","14","2026/01/21 16:45:00","0.0"
"22","1023.2","1024.7","2026/01/22 09:24:00","1021.7","2026/01/22 14:55:00","12.1","13.1","2026/01/22 13:00:00","10.9","2026/01/22 03:18:00","88","81","2026/01/22 08:50:00","5.2","43","14.2","55","2026/01/22 04:48:00","0.0"
"23","1022.2","1024.2","2026/01/23 07:57:00","1020.0","2026/01/23 14:09:00","15.3","19.3","2026/01/23 11:35:00","12.5","2026/01/23 00:01:00","85","68","2026/01/23 11:35:00","4.7","46","12.7","12","2026/01/23 15:00:00","0.0"
"24","1020.8","1023.2","2026/01/24 08:29:00","1018.9","2026/01/24 21:33:00","16.4","19.4","2026/01/24 14:04:00","14.9","2026/01/24 07:12:00","89","77","2026/01/24 14:08:00","4.0","19","13.7","16","2026/01/24 15:45:00","0.0"
"25","1019.3","1021.4","2026/01/25 08:04:00","1016.4","2026/01/25 14:23:00","17.5","20.9","2026/01/25 15:17:00","14.2","2026/01/25 01:42:00","92","83","2026/01/25 09:30:00","2.7","5","11.1","21","2026/01/25 12:45:00","0.0"
"26","1018.7","1020.9","2026/01/26 09:57:00","1017.0","2026/01/26 15:35:00","18.2","21.2","2026/01/26 13:49:00","17.1","2026/01/26 04:40:00","94","82","2026/01/26 13:51:00","2.3","346","7.9","335","2026/01/26 09:00:00","0.0"
"27","1019.6","1021.4","2026/01/27 22:56:00","1017.9","2026/01/27 03:05:00","16.4","17.9","2026/01/27 02:07:00","14.8","2026/01/27 19:53:00","91","81","2026/01/27 12:23:00","5.2","39","15.5","51","2026/01/27 10:27:00","1.5"
"28","1021.2","1023.2","2026/01/28 08:48:00","1020.2","2026/01/28 13:46:00","15.0","15.8","2026/01/28 10:55:00","14.1","2026/01/28 04:11:00","85","81","2026/01/28 10:24:00","5.7","22","14.6","8","2026/01/28 14:01:00","0.0"
"29","1019.6","1021.8","2026/01/29 08:27:00","1017.7","2026/01/29 15:28:00","17.9","22.0","2026/01/29 11:06:00","14.7","2026/01/29 06:28:00","76","60","2026/01/29 10:56:00","4.6","35","14.5","13","2026/01/29 14:59:00","0.0"
"30","1019.8","1021.8","2026/01/30 09:40:00","1018.1","2026/01/30 14:11:00","17.9","21.9","2026/01/30 11:55:00","16.1","2026/01/30 06:25:00","90","78","2026/01/30 00:01:00","3.3","14","10.1","336","2026/01/30 15:05:00","0.0"
"31","1021.2","1023.4","2026/01/31 21:53:00","1019.2","2026/01/31 02:12:00","15.6","17.0","2026/01/31 00:01:00","13.4","2026/01/31 21:52:00","94","87","2026/01/31 13:44:00","5.3","22","13.9","8","2026/01/31 16:21:00","2.0"
