"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","1000.2","1001.9","2024/09/01 00:01:00","998.5","2024/09/01 15:16:00","30.1","36.3","2024/09/01 12:23:00","26.4","2024/09/01 06:21:00","76","43","2024/09/01 12:21:00","1.6","262","7.2","247","2024/09/01 13:43:00","0.0"
"02","999.9","1002.0","2024/09/02 09:21:00","997.8","2024/09/02 17:26:00","29.8","34.5","2024/09/02 16:02:00","26.4","2024/09/02 06:03:00","71","42","2024/09/02 16:11:00","1.4","293","6.6","299","2024/09/02 12:47:00","0.0"
"03","997.7","1000.8","2024/09/03 08:35:00","994.7","2024/09/03 16:16:00","29.5","33.7","2024/09/03 12:28:00","24.8","2024/09/03 06:20:00","62","49","2024/09/03 12:19:00","2.0","54","11.9","16","2024/09/03 13:15:00","0.0"
"04","994.5","996.6","2024/09/04 00:01:00","992.2","2024/09/04 16:35:00","30.9","35.8","2024/09/04 14:19:00","27.2","2024/09/04 06:13:00","63","49","2024/09/04 12:37:00","1.6","92","6.0","224","2024/09/04 13:32:00","0.0"
"05","994.9","997.4","2024/09/05 22:17:00","993.4","2024/09/05 01:30:00","30.6","34.4","2024/09/05 15:08:00","26.6","2024/09/05 05:01:00","68","52","2024/09/05 13:08:00","1.5","74","6.0","226","2024/09/05 14:21:00","0.0"
"06","999.3","1002.4","2024/09/06 22:11:00","996.2","2024/09/06 02:46:00","30.0","34.1","2024/09/06 12:38:00","26.8","2024/09/06 05:41:00","74","54","2024/09/06 12:58:00","1.4","273","6.9","294","2024/09/06 14:48:00","0.0"
"07","1003.5","1005.6","2024/09/07 21:40:00","1001.6","2024/09/07 03:54:00","28.2","32.0","2024/09/07 09:27:00","24.6","2024/09/07 19:01:00","80","60","2024/09/07 09:28:00","1.3","269","6.9","244","2024/09/07 14:03:00","44.5"
"08","1002.4","1005.1","2024/09/08 00:03:00","1000.1","2024/09/08 17:34:00","27.7","30.6","2024/09/08 11:54:00","25.3","2024/09/08 03:20:00","82","69","2024/09/08 13:59:00","0.8","309","8.0","302","2024/09/08 12:42:00","1.0"
"09","999.6","1001.6","2024/09/09 07:58:00","996.7","2024/09/09 16:27:00","28.6","32.8","2024/09/09 13:53:00","24.5","2024/09/09 03:41:00","72","51","2024/09/09 17:01:00","1.2","102","10.4","37","2024/09/09 15:39:00","0.0"
"10","999.5","1000.8","2024/09/10 09:20:00","998.1","2024/09/10 15:52:00","28.3","30.9","2024/09/10 12:40:00","24.2","2024/09/10 05:41:00","75","66","2024/09/10 23:58:00","1.8","356","8.0","358","2024/09/10 15:51:00","0.0"
