"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","1001.4","1002.7","2024/08/01 08:42:00","1000.1","2024/08/01 17:50:00","29.4","32.4","2024/08/01 09:46:00","26.9","2024/08/01 05:33:00","75","59","2024/08/01 10:13:00","2.7","240","10.9","262","2024/08/01 12:15:00","0.0"
"02","1000.5","1001.5","2024/08/02 00:01:00","999.2","2024/08/02 17:34:00","30.1","33.3","2024/08/02 12:20:00","27.1","2024/08/02 06:13:00","68","51","2024/08/02 12:04:00","2.4","251","11.5","254","2024/08/02 11:35:00","0.0"
"03","1001.0","1002.2","2024/08/03 21:49:00","999.4","2024/08/03 16:48:00","30.0","34.4","2024/08/03 12:13:00","26.6","2024/08/03 05:41:00","72","56","2024/08/03 09:17:00","1.7","261","7.2","236","2024/08/03 14:42:00","0.0"
"04","1000.5","1001.9","2024/08/04 06:09:00","998.1","2024/08/04 17:47:00","30.1","33.6","2024/08/04 11:48:00","27.1","2024/08/04 05:13:00","74","52","2024/08/04 15:41:00","1.2","276","6.0","273","2024/08/04 14:26:00","0.0"
"05","999.0","1001.0","2024/08/05 00:06:00","996.8","2024/08/05 17:49:00","29.9","33.3","2024/08/05 10:00:00","26.5","2024/08/05 02:20:00","73","54","2024/08/05 10:00:00","1.2","303","6.9","259","2024/08/05 11:47:00","0.0"
"06","998.5","1000.2","2024/08/06 22:08:00","997.0","2024/08/06 16:41:00","28.9","33.2","2024/08/06 13:46:00","26.1","2024/08/06 05:43:00","75","57","2024/08/06 12:20:00","1.1","326","8.9","319","2024/08/06 14:40:00","0.0"
"07","999.1","1000.1","2024/08/07 06:21:00","998.0","2024/08/07 17:15:00","28.5","32.2","2024/08/07 12:58:00","25.7","2024/08/07 04:20:00","76","61","2024/08/07 13:43:00","1.3","168","6.3","270","2024/08/07 11:18:00","0.0"
"08","999.0","1000.5","2024/08/08 10:50:00","997.2","2024/08/08 15:58:00","28.9","32.7","2024/08/08 14:42:00","25.5","2024/08/08 03:20:00","75","56","2024/08/08 16:54:00","1.1","263","7.1","272","2024/08/08 10:32:00","0.0"
"09","997.6","998.7","2024/08/09 08:24:00","996.3","2024/08/09 17:40:00","29.2","33.2","2024/08/09 11:47:00","25.7","2024/08/09 04:20:00","73","62","2024/08/09 11:47:00","1.7","256","9.4","258","2024/08/09 13:47:00","0.0"
"10","996.4","997.7","2024/08/10 09:14:00","994.5","2024/08/10 15:18:00","29.3","33.9","2024/08/10 12:28:00","25.5","2024/08/10 04:11:00","72","58","2024/08/10 13:08:00","1.6","277","8.4","248","2024/08/10 16:11:00","0.0"
"11","996.1","997.3","2024/08/11 08:44:00","994.2","2024/08/11 15:10:00","29.5","33.6","2024/08/11 13:04:00","26.0","2024/08/11 05:51:00","72","58","2024/08/11 13:04:00","1.8","257","8.6","274","2024/08/11 11:13:00","0.0"
"12","996.9","999.4","2024/08/12 21:11:00","994.9","2024/08/12 14:46:00","29.7","33.2","2024/08/12 13:06:00","26.2","2024/08/12 05:51:00","71","57","2024/08/12 16:05:00","2.0","260","8.5","259","2024/08/12 12:01:00","0.0"
