"觀測時間(day)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp"
"01","992.9","993.9","2025/09/01 10:08:00","990.9","2025/09/01 15:54:00","28.5","32.9","2025/09/01 09:50:00","25.9","2025/09/01 04:59:00","79","62","2025/09/01 10:58:00","0.9","51","4.1","6","2025/09/01 15:06:00","0.5"
"02","992.9","994.6","2025/09/02 10:17:00","991.3","2025/09/02 04:34:00","28.2","33.9","2025/09/02 14:09:00","25.9","2025/09/02 04:19:00","82","62","2025/09/02 13:54:00","0.9","303","5.8","98","2025/09/02 17:03:00","0.5"
"03","993.0","994.8","2025/09/03 08:50:00","990.9","2025/09/03 15:32:00","28.6","34.4","2025/09/03 10:24:00","24.6","2025/09/03 05:41:00","76","56","2025/09/03 10:20:00","1.2","297","7.8","119","2025/09/03 15:50:00","0.0"
"04","992.8","994.1","2025/09/04 08:14:00","991.1","2025/09/04 17:46:00","28.4","34.6","2025/09/04 09:33:00","25.2","2025/09/04 06:06:00","76","55","2025/09/04 14:51:00","1.1","122","6.5","290","2025/09/04 12:52:00","0.0"
"05","992.8","994.4","2025/09/05 09:02:00","991.5","2025/09/05 16:26:00","29.1","34.7","2025/09/05 10:06:00","24.8","2025/09/05 05:41:00","71","52","2025/09/05 11:59:00","1.2","112","6.3","294","2025/09/05 13:38:00","0.0"
"06","992.5","994.9","2025/09/06 22:30:00","991.4","2025/09/06 13:38:00","30.1","36.0","2025/09/06 13:16:00","25.4","2025/09/06 05:48:00","72","54","2025/09/06 13:17:00","1.0","115","5.8","247","2025/09/06 14:36:00","0.0"
"07","994.9","997.6","2025/09/07 21:56:00","993.0","2025/09/07 04:54:00","27.1","34.4","2025/09/07 10:52:00","24.3","2025/09/07 20:46:00","89","57","2025/09/07 10:52:00","1.3","196","7.6","160","2025/09/07 16:13:00","45.5"
"08","995.9","997.6","2025/09/08 23:29:00","994.2","2025/09/08 15:21:00","29.0","35.2","2025/09/08 13:28:00","24.2","2025/09/08 01:20:00","76","50","2025/09/08 13:28:00","1.2","251","7.8","239","2025/09/08 15:12:00","0.0"
"09","996.8","998.1","2025/09/09 10:17:00","995.0","2025/09/09 14:52:00","28.8","34.7","2025/09/09 14:47:00","24.9","2025/09/09 06:10:00","77","53","2025/09/09 11:18:00","1.1","126","7.3","302","2025/09/09 12:43:00","1.0"
"10","996.1","997.4","2025/09/10 20:36:00","994.6","2025/09/10 15:13:00","28.9","35.3","2025/09/10 11:11:00","24.6","2025/09/10 04:26:00","71","51","2025/09/10 11:04:00","1.3","122","7.2","287","2025/09/10 13:07:00","0.0"
"11","995.3","997.5","2025/09/11 07:42:00","993.6","2025/09/11 16:55:00","31.0","34.1","2025/09/11 13:34:00","25.8","2025/09/11 03:23:00","71","57","2025/09/11 10:10:00","0.9","309","5.5","284","2025/09/11 14:58:00","0.0"
"12","995.9","997.3","2025/09/12 09:26:00","994.4","2025/09/12 15:09:00","27.9","34.4","2025/09/12 11:50:00","25.6","2025/09/12 18:15:00","80","59","2025/09/12 12:23:00","1.5","118","6.2","283","2025/09/12 13:16:00","0.0"
"13","996.1","997.7","2025/09/13 08:38:00","994.5","2025/09/13 15:51:00","30.1","36.0","2025/09/13 12:42:00","24.7","2025/09/13 05:37:00","68","49","2025/09/13 15:07:00","1.2","206","5.4","240","2025/09/13 14:14:00","0.0"
